Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Ratio;RatioSD;Allocated;Alloc Ratio
string.EndsWith(string);DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"129,804.4 μs";"1,570.25 μs";"1,468.81 μs";"129,922.5 μs";"+14,104%";1.1%;100 B;NA
"'string.EndsWith(string, StringComparison.Ordinal)'";DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;913.9 μs;1.96 μs;1.83 μs;913.9 μs;baseline;;0 B;NA
"'string.EndsWith(string, StringComparison.OrdinalIgnoreCase)'";DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;753.0 μs;1.63 μs;1.44 μs;753.3 μs;-18%;0.3%;0 B;NA
"'string.EndsWith(string, StringComparison.CurrentCulture)'";DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"121,636.9 μs";731.13 μs;648.13 μs;"121,539.0 μs";"+13,210%";0.6%;100 B;NA
"'string.EndsWith(string, StringComparison.CurrentCultureIgnoreCase)'";DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"311,476.5 μs";"12,693.91 μs";"35,385.55 μs";"317,966.5 μs";"+33,984%";11.3%;100 B;NA
"'string.EndsWith(string, StringComparison.InvariantCulture)'";DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"1,224.2 μs";11.73 μs;12.55 μs;"1,220.6 μs";+34%;1.0%;1 B;NA
"'string.EndsWith(string, StringComparison.InvariantCultureIgnoreCase)'";DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"1,614.0 μs";4.58 μs;3.82 μs;"1,613.8 μs";+77%;0.3%;1 B;NA
"'ReadOnlySpan<char>.EndsWith(string, StringComparison.Ordinal)'";DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;923.1 μs;1.92 μs;1.79 μs;923.5 μs;+1%;0.3%;1 B;NA
"'ReadOnlySpan<char>.EndsWith(string, StringComparison.OrdinalIgnoreCase)'";DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;782.8 μs;12.81 μs;11.98 μs;776.1 μs;-14%;1.5%;0 B;NA
"'ReadOnlySpan<char>.EndsWith(string, StringComparison.CurrentCulture)'";DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"122,038.9 μs";414.43 μs;387.66 μs;"121,966.2 μs";"+13,254%";0.4%;100 B;NA
